City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income,log_price
Toronto,779900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.8920389203412915
Toronto,799999.0,3,1,ON,5647656,43.7417,-79.3733,97000.0,5.903089444123502
Toronto,799900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.903035696788497
Toronto,1200000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.079181246047625
Toronto,668800.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.82529626443096
Toronto,669900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.8260099777911005
Toronto,699000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.8444771757456815
Toronto,978000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.990338854787601
Toronto,958000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.981365509078544
Toronto,1899000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0,6.278524964737017
Toronto,559900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.748110467494984
Toronto,498800.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.697926444806505
Toronto,1450000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.161368002234975
Toronto,650000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.812913356642856
Toronto,745000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.872156272748293
Toronto,784900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.8948143290833
Toronto,998000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,5.999130541287371
Toronto,989900.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,5.995591324252353
Toronto,1099000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.040997692423491
Toronto,590000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.770852011642144
Toronto,899900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.954194251815863
Toronto,585000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.767155866082181
Toronto,899000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
Toronto,488000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.688419822002711
Toronto,650000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.812913356642856
Toronto,498000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.697229342759718
Toronto,1595000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.2027606873932
Toronto,718000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.8561244442423
Toronto,1350000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.1303337684950066
Toronto,999000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.999565488225983
Toronto,819000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.913283901760418
Toronto,639000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.8055008581584
Toronto,799900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.903035696788497
Toronto,789900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.89757211382573
Toronto,549900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.740283719681879
Toronto,1149900.0,3,1,ON,5647656,43.7417,-79.3733,97000.0,6.060660073974015
Toronto,2699900.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.431347678880298
Toronto,1299000.0,6,3,ON,5647656,43.7417,-79.3733,97000.0,6.113609151073028
Toronto,1588000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.200850498091078
Toronto,564000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.751279103983342
Toronto,1195000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.077367905284157
Toronto,515000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.711807229041191
Toronto,1298800.0,5,2,ON,5647656,43.7417,-79.3733,97000.0,6.113542279953964
Toronto,1050000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.021189299069938
